pl_rade,pl_trandep,st_teff,pl_trandur,pl_orbper,st_rad,sy_dist,pl_bmasse,label_standardized,dataset_source
2.0,1127.1,5659.0,3.0249,16.38489988,0.615,264.78,12.0,CONFIRMED,KEPLER
2.16,1306.1,5659.0,2.0805,7.8774163,0.615,264.78,12.0,CONFIRMED,KEPLER
1.99,1122.3,5659.0,4.007,36.4454001,0.615,264.78,12.0,CONFIRMED,KEPLER
6.02,5226.5,5659.0,2.683,3.728732147,0.809,264.78,12.0,CONFIRMED,KEPLER
7.51,6256.0,5659.0,3.362,40.4195037,0.781,264.78,12.0,CANDIDATE,KEPLER
1.99,821.7,5659.0,1.1196,2.243380573,0.564,264.78,12.0,CONFIRMED,KEPLER
11.23,14489.0,5659.0,6.5036,10.405998015,0.924,264.78,12.0,FALSE POSITIVE,KEPLER
2.34,971.2,5659.0,1.9982,2.337437946,0.765,264.78,12.0,CONFIRMED,KEPLER
19.45,556.4,5659.0,0.558,7.2406612,0.765,264.78,12.0,CANDIDATE,KEPLER
0.55,23.2,5659.0,3.133,3.43591631,1.087,264.78,12.0,CANDIDATE,KEPLER
2.65,2804.5,5659.0,2.5237,11.59822233,0.473,264.78,12.0,CONFIRMED,KEPLER
5.31,2793.3,5659.0,4.3084,6.575315881,0.989,264.78,12.0,CONFIRMED,KEPLER
4.86,3001.0,5659.0,7.5377,7.275040844,0.867,264.78,12.0,CONFIRMED,KEPLER
1.93,1219.8,5659.0,2.7594,19.27153892,0.56,264.78,12.0,CONFIRMED,KEPLER
1.91,1053.3,5659.0,1.369,10.06524317,0.56,264.78,12.0,CONFIRMED,KEPLER
2.66,916.6,5659.0,3.8896,12.3935651,0.75,264.78,12.0,CONFIRMED,KEPLER
2.87,615.2,5659.0,6.802,43.84439721,1.012,264.78,12.0,CONFIRMED,KEPLER
21.55,725.3,5659.0,3.813,3.341913228,0.811,264.78,12.0,FALSE POSITIVE,KEPLER
32.43,1620.6,5659.0,2.1145,1.626630225,0.973,264.78,12.0,FALSE POSITIVE,KEPLER
3.12,837.5,5659.0,3.0099,2.711504086,1.076,264.78,12.0,CONFIRMED,KEPLER
3.32,950.4,5659.0,4.0491,7.21203748,1.076,264.78,12.0,CONFIRMED,KEPLER
1.88,459.9,5659.0,2.505,14.1798187,0.878,264.78,12.0,FALSE POSITIVE,KEPLER
2.59,1123.5,5659.0,2.7245,8.47237911,0.788,264.78,12.0,CONFIRMED,KEPLER
2.36,931.3,5659.0,5.039,60.4189369,0.788,264.78,12.0,CONFIRMED,KEPLER
7.4,6105.6,5659.0,5.1497,12.611904345,0.919,264.78,12.0,CONFIRMED,KEPLER
46.58,1976.3,5659.0,1.8868,1.433769925,1.339,264.78,12.0,FALSE POSITIVE,KEPLER
28.59,871.7,5659.0,3.836,10.31872301,1.06,264.78,12.0,FALSE POSITIVE,KEPLER
2.06,382.1,5659.0,2.4282,2.539183147,1.062,264.78,12.0,CONFIRMED,KEPLER
2.77,1304.0,5659.0,2.0844,6.770300385,0.679,264.78,12.0,CONFIRMED,KEPLER
27.51,10967.0,5659.0,2.0792,0.444291966,0.636,264.78,12.0,FALSE POSITIVE,KEPLER
7.73,5741.1,5659.0,3.5089,10.181584004,0.836,264.78,12.0,CANDIDATE,KEPLER
1.96,1494.7,5659.0,3.3203,20.06036336,0.493,264.78,12.0,CONFIRMED,KEPLER
1.83,1394.7,5659.0,4.758,46.1842039,0.493,264.78,12.0,CONFIRMED,KEPLER
1.31,104.0,5659.0,5.351,23.9800854,1.012,264.78,12.0,CONFIRMED,KEPLER
1.2,520.8,5659.0,2.186,7.82502168,0.493,264.78,12.0,CONFIRMED,KEPLER
7.34,8544.8,5659.0,2.3111,3.895936525,0.774,264.78,12.0,CONFIRMED,KEPLER
2.32,986.8,5659.0,5.228,22.36646466,0.734,264.78,12.0,CONFIRMED,KEPLER
9.73,7969.0,5659.0,2.38963,1.625522174,1.106,264.78,12.0,CONFIRMED,KEPLER
13.6,21725.0,5659.0,2.0038,19.620346923,0.905,264.78,12.0,CANDIDATE,KEPLER
17.47,322.6,5659.0,6.222,7.544039,0.824,264.78,12.0,FALSE POSITIVE,KEPLER
2.57,1019.8,5659.0,3.1449,9.02930689,0.82,264.78,12.0,CONFIRMED,KEPLER
13.28,16918.0,5659.0,7.7915,10.328035714,1.024,264.78,12.0,FALSE POSITIVE,KEPLER
